Original_Entry_ID,Gene_Symbol,SMILES
5930260,KCNH2,BrC=1C=CC(N/N=C/2\CCCNC2=O)=CC1
901567,KCNH2,ClC=1C(N2C(=NC3=C(SC=C3)C2=O)C)=CC=CC1
4199029,KCNH2,O1C(C(O)C(O)C(O)C1NC(=O)CC)CO
410099,KCNH2,N1=C2C(=NC=3C1=CC=CC3)C=C(N)C(N)=C2
702922,KCNH2,ClC=1C(C=2ON=C(N2)C=3C=CN=CC3)=CC=C(Cl)C1
738355,KCNH2,O1C(=CC(=C1C)C(=O)O)/C=C(/CO)\C
2868540,KCNH2,SC=1N(C(=NN1)C(CC(O)(C)C)CC)CC=C
2932528,KCNH2,O1C(CCC1)C(=O)N2CCN(CC2)C3=NC=CC=N3
1491246,KCNH2,S1C(=C(N2C(=CC=C2C)C)C=C1)C(=O)CC#N
2741385,KCNH2,O(C(=O)N1CCN(CC1)C=2C(OC)=CC=CC2)CC
901267,KCNH2,S(C1=NC=C(N(=O)=O)C=C1C)C=2N(C=CN2)C
818247,KCNH2,OC(=O)C1=CC=2C(N=C1C)=CC(=CC2)C
649168,KCNH2,O1CCC(CC1)(C(=O)N2CCCCC2)C3=CC=CC=C3
2934553,KCNH2,O(CCNC(C1=CC=CC=C1)C)CCOC2=CC=CC=C2
3252186,KCNH2,O(CCCCC)C=1C=CC(N=C2CCCC(=O)C2)=CC1
782615,KCNH2,O1CCN(CC1)CC2=CC(OC3=CC=CC=C3)=CC=C2
834369,KCNH2,FC(F)(F)C=1C(CNCC2=CC=C(F)C=C2)=CC=CC1
1252507,KCNH2,ClC=1C(CN2N=NC3=C(C2=O)C=CC=C3)=CC=CC1
2404858,KCNH2,S1C(NCCC2=CC=CC=C2)=NC=3C1=CC=CC3
2842699,KCNH2,S(=O)(=O)(N1CCCC1)C2=CC(N(=O)=O)=C(C=C2)C
3236491,KCNH2,S1C(N2CCCCCC2)=NC3=C1C=C(OCC)C=C3
225062,KCNH2,O1C(C=CC2=C1C=C(O)C(=C2OC)C(=O)C)(C)C
2186745,KCNH2,O=C(C(C)(C)C)CC=NC1=C(OCC)C=CC=C1
1767711,KCNH2,S=C(NCC(C)C)NNC(=O)C1=NOC(=C1)C
602501,KCNH2,O1C=2C(C(NC(OC)=O)C=3C1=CC=CC3)=CC=CC2
16195075,KCNH2,ClC1=CC=C(CN2CCN(CC2)CC=3C(OC)=CC=CC3)C=C1
2054805,KCNH2,BrC=1C=CC(C(=O)NCCCCCC(=O)O)=CC1
6603255,KCNH2,S(CC(=O)C1(OC(=O)CC1)C)C=2SC=3C(N2)=CC=CC3
708785,KCNH2,FC1=CC=C(NC(=O)NC2=NC=CC(=C2)C)C=C1
914418,KCNH2,S1C(=N)C(C(C=2C=C(O)C=CC2)C(C1=N)C#N)C#N
960810,KCNH2,N1(N=C2C(=N1)C=CC(N)=C2)C3=CC=C(C(C)C)C=C3
894100,KCNH2,BrC1=C(OCC(=O)NC=2C=CN=CC2)C=CC(CC)=C1
655983,KCNH2,ClC1=CN2C(NCCOC)=C(N=C2C=C1)C=3C=CC(O)=CC3
6904058,KCNH2,S1C(N2CCOCC2)=CC=C1/C=N/NC(OCC)=O
2612650,KCNH2,S1C=2C(N3C1=NN=C3SCC(=O)NC(C)C)=CC=CC2
2857021,KCNH2,OC=1N(C(O)=C2C1C3CC2C=C3)CCC4=CC=CC=C4
2941256,KCNH2,ClC=1C(OC)=CC(NC(=S)NCC2OCCC2)=C(OC)C1
3236021,KCNH2,O=C(N1CCCCCC1)C2=C(N(C(=C2C)C(OCC)=O)CC)C
24747971,KCNH2,S1C2=C(CSC=3C2=CC=CC3)C=C1C(=O)N(CCC#N)C
763998,KCNH2,O(C(=O)C1CCN(CC1)CC2=CC=C(N(C)C)C=C2)CC
712788,KCNH2,S1C(C2=NNC=3CC(CC(=O)C32)(C)C)=CC=C1
3246782,KCNH2,BrC=1OC(C(=O)NC(CCC2=CC=CC=C2)C)=CC1
2197142,KCNH2,O(C(=O)C(C(=O)C=1C=CC=CC1)C(=NC)N)CC
753790,KCNH2,O=C(NN)CN1C=2C(N=C1C3=NC=CC=C3)=CC=CC2
2431158,KCNH2,ClC=1C=CC(C(=O)CCC(OCC(=O)NC)=O)=CC1
977618,KCNH2,S(O)(O)(=CC1=CC=CC=C1)=CC(=O)NCC=2OC=CC2
681234,KCNH2,S=C(N1CCCC=2C1=CC=CC2)NC=3C=CC(F)=CC3
5381220,KCNH2,O1C2=C(CN3CCCCC3)C(O)=CC=C2C=4CCCCC4C1=O
650454,KCNH2,S(=O)(=O)(N1CCC(N2N=NC3=C2C=CC(=C3)C)CC1)C
1782673,KCNH2,O1CCN(CC1)C2=CC(=C(C=C2)/C=C\N(=O)=O)C
2845779,KCNH2,N1(CCN(CC1)C2=CC=CC=C2)CCC(C3=CC=CC=C3)C
2374189,KCNH2,ClC1=CC(NC(=S)N(N)CC2=CC=CC=C2)=CC=C1Cl
2973523,KCNH2,O(C1=CC=C(C(C2=CC=CC=C2)(C)C)C=C1)CCN
826001,KCNH2,O1C(CC=2C1=NC=3C(C2O)=CC=CC3OC)(C)C
